,City,Longitude,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
119,talcahuano,-73.12,-36.72,50.26999999999996,71,90,2.6
120,port keats,129.55,-14.25,75.83000000000004,44,0,5.72
121,pervomayskoye,46.71,43.92,72.80600000000004,66,60,4.12
122,khorinsk,109.77,52.17,70.39399999999998,53,77,0.26
123,san alberto,-73.39,7.76,78.674,79,77,0.77
124,flinders,150.86,-34.58,57.00199999999998,87,69,4.02
125,ust-kalmanka,83.31,52.12,64.30999999999997,87,23,5.41
126,amapa,-52.0,1.0,72.734,98,80,1.02
127,qaanaaq,-69.36,77.48,48.272000000000034,54,0,0.9
128,pemba,40.52,-12.97,71.27599999999998,68,13,6.93
129,necochea,-58.74,-38.55,40.26199999999996,84,94,5.36
130,guararapes,-50.64,-21.26,69.76400000000004,34,0,2.39
131,hithadhoo,73.08,-0.6,78.83599999999997,82,100,3.86
132,arraial do cabo,-42.03,-22.97,73.66999999999996,83,0,6.7
133,beruwala,79.98,6.48,79.84399999999997,87,90,2.82
134,guerrero negro,-114.06,27.98,72.53599999999997,61,0,7.95
135,prince rupert,-130.32,54.32,59.26999999999996,82,90,1.5
136,tuktoyaktuk,-133.04,69.45,62.86999999999996,55,75,2.1
137,bronnoysund,12.2,65.46,53.58200000000002,93,94,1.5
138,nong han,103.11,17.36,79.06999999999996,88,20,1.5
139,norman wells,-126.83,65.28,71.86999999999996,37,20,5.7
140,negombo,79.84,7.21,77.26999999999995,88,20,4.79
141,kathmandu,85.32,27.72,70.06999999999996,100,75,0.15
142,puerto quijarro,-57.77,-17.78,80.618,43,13,0.75
143,santa rosa,121.11,14.31,82.25600000000003,88,66,1.65
144,ballina,153.57,-28.87,59.719999999999956,93,75,4.1
145,narsaq,-46.05,60.92,53.86999999999996,76,98,2.6
146,sisimiut,-53.67,66.94,49.064000000000036,83,95,2.19
147,abha,42.51,18.22,65.51600000000002,77,100,4.64
148,catia la mar,-67.03,10.6,74.26400000000004,75,50,6.2
149,thompson,-97.86,55.74,70.06999999999996,94,90,1.5
150,verkhnevilyuysk,120.32,63.45,72.35600000000002,68,96,1.7
151,ostrovnoy,39.51,68.05,56.73200000000001,91,21,4.88
152,ilulissat,-51.1,69.22,46.66999999999996,87,100,3.6
153,hermanus,19.23,-34.42,60.27799999999996,49,0,0.89
154,vardo,31.11,70.37,55.99399999999997,88,6,6.54
155,san carlos de bariloche,-71.31,-41.15,37.66999999999996,95,75,8.7
156,axim,-2.24,4.87,75.38000000000005,87,67,4.64
157,la asuncion,-63.86,11.03,88.06999999999996,55,95,5.7
158,loreto,-101.97,22.27,78.49399999999997,38,49,4.84
159,mar del plata,-57.56,-38.0,41.791999999999994,80,75,7.2
160,salalah,54.09,17.02,79.06999999999996,88,75,3.6
161,port elizabeth,25.57,-33.92,48.469999999999956,66,0,2.1
162,griffith,-87.42,41.53,81.51799999999999,61,1,2.1
163,whitehorse,-135.05,60.72,65.87599999999999,39,75,5.7
164,butaritari,172.79,3.07,82.70600000000003,79,20,7.37
165,itoman,127.67,26.12,84.41600000000001,89,75,4.1
166,longyearbyen,15.64,78.22,52.069999999999965,87,0,6.7
167,celestun,-90.4,20.87,84.66799999999998,76,88,6.46
168,pangnirtung,-65.71,66.15,50.26999999999996,76,75,2.1
169,sundby,11.79,54.86,57.88399999999999,1,12,0.45
170,beloha,45.05,-25.17,58.73000000000005,78,1,4.65
171,santa marta,-74.2,11.24,76.26199999999996,88,100,4.19
172,hamilton,-84.53,39.18,84.542,45,40,2.6
173,xichang,102.26,27.9,69.98000000000005,78,100,0.95
174,jalu,21.55,29.03,77.39600000000004,52,0,5.4
175,oudtshoorn,22.2,-33.59,64.66999999999996,23,0,3.1
176,garh maharaja,71.91,30.83,90.64399999999998,43,0,3.97
177,syracuse,15.28,37.09,75.63200000000002,64,0,2.6
178,urumqi,87.6,43.8,79.06999999999996,34,0,5.0
179,east london,27.91,-33.02,65.13800000000005,27,0,2.15
180,bonthe,-12.51,7.53,76.13599999999997,84,100,4.0
181,carnarvon,113.63,-24.87,50.26999999999996,81,0,3.6
182,fairbanks,-147.72,64.84,60.403999999999954,72,75,6.7
183,gamba,10.0,-2.65,72.5,84,70,2.66
184,pevek,170.31,69.7,46.16600000000001,69,92,2.62
185,morgan city,-91.21,29.7,78.476,88,90,3.1
186,makakilo city,-158.09,21.35,88.23200000000003,43,20,4.6
187,shellbrook,-106.4,53.22,77.26999999999995,53,20,5.1
188,san luis,-66.34,-33.3,42.475999999999985,56,6,3.85
189,dingle,122.67,11.0,81.37400000000002,79,100,0.6
190,provideniya,-173.3,64.38,51.22400000000002,64,100,0.39
191,linguere,-15.12,15.4,83.73200000000003,71,39,5.68
192,labuhan,112.21,-6.88,74.60600000000002,77,100,5.72
193,makhachkala,47.5,42.98,73.47200000000004,83,20,3.0
194,mala,-76.63,-12.66,61.772000000000034,82,21,2.9
195,honiara,159.95,-9.43,88.06999999999996,70,20,4.6
196,kortkeros,51.58,61.81,57.469999999999956,100,27,1.19
197,sao joao de pirabas,-47.18,-0.77,78.85399999999996,84,85,3.42
198,arona,-16.68,28.1,73.54399999999998,78,3,3.6
199,yerbogachen,108.01,61.28,56.443999999999974,82,54,4.8
200,vila velha,-40.29,-20.33,71.22200000000004,83,40,0.5
201,katherine,132.27,-14.47,68.26999999999995,49,0,2.6
202,placido de castro,-67.19,-10.34,80.34800000000003,55,7,0.35
203,bambous virieux,57.76,-20.34,68.26999999999995,52,75,7.7
204,tucuman,-65.22,-26.82,48.469999999999956,57,13,2.6
205,tessalit,1.01,20.2,88.808,41,92,9.34
206,pasni,63.47,25.26,84.07400000000001,79,88,5.28
207,champerico,-91.92,14.3,86.26999999999995,70,75,3.1
208,hobyo,48.53,5.35,77.30600000000004,73,78,10.84
209,comodoro rivadavia,-67.5,-45.87,43.06999999999996,62,72,7.7
210,banda aceh,95.32,5.56,79.32200000000003,78,93,2.0
211,razole,81.83,16.48,78.49399999999997,89,100,0.59
212,san andres,-81.7,12.58,86.26999999999995,74,40,4.1
213,sawakin,37.33,19.11,91.66999999999996,46,87,1.84
214,moree,149.85,-29.47,61.069999999999965,63,90,5.7
215,portel,-50.82,-1.94,78.96199999999996,73,29,0.75
216,acapulco,-99.89,16.86,86.26999999999995,74,40,3.6
217,cabo san lucas,-109.91,22.89,88.15999999999998,61,5,6.2
218,clyde river,-68.59,70.47,44.86999999999996,87,90,2.1
219,yuzhou,113.46,34.16,71.86999999999996,88,87,1.0
220,lebu,-73.65,-37.62,48.16400000000003,78,95,3.22
221,petropavlovsk-kamchatskiy,158.65,53.05,57.469999999999956,82,75,1.0
222,sibiti,13.35,-3.68,68.09000000000003,77,24,1.78
223,dunedin,170.5,-45.87,56.26400000000004,46,93,4.92
224,souillac,57.52,-20.52,68.26999999999995,52,75,7.7
225,constitucion,-72.42,-35.33,47.227999999999966,72,0,1.99
226,jiayuguan,98.3,39.82,69.16999999999996,41,0,3.3
227,los llanos de aridane,-17.92,28.66,71.86999999999996,78,10,7.2
228,mantua,10.78,45.17,64.32799999999997,91,99,2.9
229,kerman,57.08,30.28,71.86999999999996,18,0,4.1
230,zaraza,-65.32,9.35,75.092,96,99,2.36
231,talnakh,88.4,69.49,48.469999999999956,81,1,5.0
232,portland,-122.68,45.52,69.51199999999996,52,75,5.7
233,nara,135.8,34.69,75.99199999999999,94,75,3.1
234,bathsheba,-59.52,13.22,82.66999999999996,78,40,8.7
235,rocha,-54.33,-34.48,44.851999999999975,88,100,3.23
236,guozhen,107.36,34.37,69.566,85,100,0.84
237,price,-110.81,39.6,80.86999999999996,22,20,5.1
238,turukhansk,87.98,65.82,57.14600000000005,76,100,0.99
239,victoria,114.16,22.29,85.29800000000003,74,100,4.47
240,kloulklubed,134.26,7.04,77.26999999999995,94,90,1.5
241,buraydah,43.98,26.33,95.26999999999995,36,40,1.0
242,istanbul,28.98,41.04,71.69000000000003,69,20,5.1
243,madison,-86.57,34.73,85.892,58,1,3.1
244,port hawkesbury,-61.35,45.62,66.34399999999997,88,1,3.1
245,asha,57.27,55.0,58.964000000000034,95,100,1.3
246,mount gambier,140.77,-37.83,41.26999999999996,93,70,2.1
247,nortelandia,-56.8,-14.45,79.10600000000002,36,43,1.52
248,gornopravdinsk,69.9,60.05,54.51799999999999,66,41,1.86
249,revda,59.93,56.8,48.469999999999956,93,2,1.0
250,geraldton,114.6,-28.77,46.66999999999996,70,0,8.7
251,kaitangata,169.85,-46.28,51.27799999999996,61,82,9.39
252,lyubech,30.66,51.7,55.13000000000004,75,57,3.19
253,natal,-35.21,-5.79,75.46999999999997,83,20,3.1
254,stutterheim,27.42,-32.57,54.12200000000004,32,0,3.21
255,tual,132.75,-5.67,79.98800000000006,78,66,9.37
256,noyabrsk,75.45,63.2,55.13000000000004,72,94,2.4
257,erzin,36.2,36.96,81.26600000000002,86,4,0.37
258,taft,54.21,31.75,88.06999999999996,16,0,3.1
259,katsuura,140.3,35.13,79.08800000000005,94,75,2.6
260,envira,-70.22,-7.3,75.74000000000002,88,62,0.77
261,fare,-151.02,-16.7,78.25999999999999,74,0,8.01
262,inhambane,35.38,-23.86,65.71400000000003,77,24,5.07
263,tipitapa,-86.1,12.2,89.86999999999996,55,20,4.1
264,kruisfontein,24.73,-34.0,61.538000000000046,27,0,4.99
265,touros,-35.46,-5.2,75.46999999999997,83,20,3.1
266,airai,125.41,-8.93,63.17599999999999,60,46,1.86
267,nkpor,6.84,6.15,72.26600000000002,98,96,2.39
268,sao filipe,-24.5,14.9,76.892,81,25,1.57
269,blythe,-114.6,33.61,105.25999999999998,12,75,5.7
270,kalmunai,81.82,7.42,79.89800000000002,79,100,2.59
271,praia,-23.51,14.92,80.86999999999996,74,75,5.1
272,noshiro,140.02,40.2,70.06999999999996,100,75,1.0
273,hede,120.25,33.77,77.84600000000006,77,22,2.65
274,luderitz,15.16,-26.65,70.06999999999996,22,0,3.6
275,puerto del rosario,-13.86,28.5,75.46999999999997,69,17,7.7
276,palkino,28.01,57.54,55.66999999999996,93,100,2.0
277,okha,142.95,53.57,57.61400000000003,71,0,3.36
278,biak,122.88,-0.91,78.78200000000001,77,48,3.64
279,orange cove,-119.31,36.62,94.892,24,1,3.2
280,olafsvik,-23.71,64.89,46.219999999999956,72,47,6.03
281,ferreira do alentejo,-8.03,38.05,70.06999999999996,60,0,5.1
282,beian,9.57,63.66,50.359999999999985,87,75,5.7
283,hualmay,-77.61,-11.1,61.30399999999995,84,23,4.85
284,cap-aux-meules,-61.86,47.38,70.06999999999996,73,40,2.1
285,tvoroyri,-6.81,61.56,50.26999999999996,100,100,4.6
286,magadan,150.8,59.57,59.41400000000003,73,62,2.88
287,fort nelson,-122.7,58.81,71.86999999999996,53,75,3.1
288,anzio,12.62,41.49,74.28200000000001,97,0,1.34
289,pimentel,-79.93,-6.84,62.86999999999996,82,75,11.3
290,ojinaga,-104.42,29.57,88.06999999999996,45,1,3.6
291,milkovo,158.62,54.72,68.35999999999999,55,8,0.66
292,san rafael,-68.33,-34.62,47.04800000000002,45,0,2.73
293,aklavik,-135.01,68.22,70.06999999999996,46,75,4.1
294,rondonopolis,-54.64,-16.47,73.36400000000003,32,5,1.35
295,sovetskiy,63.58,61.36,51.54800000000003,72,70,2.38
296,upernavik,-56.15,72.79,46.832000000000015,79,68,1.99
297,aksu,80.26,41.12,75.72200000000004,34,3,0.6
298,polovinnoye,65.99,54.79,53.38399999999999,83,35,4.3
299,shihezi,86.03,44.3,79.592,30,15,4.94
300,concarneau,-3.92,47.88,63.75199999999998,100,90,4.1
301,la ligua,-71.23,-32.45,52.069999999999965,76,0,1.5
302,svetlogorsk,29.73,52.63,54.319999999999965,78,95,3.3
303,haines junction,-137.51,60.75,60.16999999999996,50,97,4.86
304,mongo,18.69,12.18,77.80999999999997,72,88,1.42
305,bayburt,40.23,40.26,57.685999999999964,85,4,0.7
306,gat,34.76,31.61,71.95999999999998,62,0,1.22
307,kvitok,98.48,56.07,57.45199999999998,64,53,1.04
308,tlacojalpan,-95.95,18.23,88.39399999999998,74,14,1.93
309,dzhebariki-khaya,135.8,62.22,81.48200000000003,41,0,1.2
310,atambua,124.89,-9.11,74.13800000000005,58,46,1.99
311,ambulu,113.61,-8.35,72.64399999999998,78,98,1.35
312,leningradskiy,178.42,69.38,49.53200000000002,64,98,5.88
313,inta,60.17,66.03,56.06600000000001,70,3,3.57
314,russell,-85.2,32.35,86.59399999999997,62,20,1.68
315,taoudenni,-3.98,22.68,103.22599999999998,10,0,8.67
316,bam,58.36,29.11,82.52599999999998,15,0,4.25
317,cooma,149.13,-36.23,34.06999999999996,80,79,3.1
318,praya,-23.51,14.92,80.86999999999996,74,75,5.1
319,ancud,-73.82,-41.87,44.54600000000005,100,90,6.2
320,kasongo-lunda,16.82,-6.47,68.99000000000002,32,77,0.31
321,copperas cove,-97.9,31.12,94.28000000000004,44,90,6.7
322,unecha,32.67,52.85,52.969999999999956,82,59,2.17
323,rundu,19.77,-17.93,53.86999999999996,46,0,2.1
324,himare,19.74,40.1,76.53200000000001,73,0,0.59
325,batagay-alyta,130.41,67.8,74.51600000000002,44,16,1.81
326,jaru,-62.47,-10.44,81.392,40,18,1.19
327,gravdal,13.5,68.12,52.898000000000025,89,100,1.77
328,winona,-91.77,43.97,86.28800000000004,66,1,1.5
329,teahupoo,-149.27,-17.83,80.86999999999996,65,75,2.1
330,port-cartier,-66.87,50.03,73.23800000000006,50,75,5.1
331,meulaboh,96.13,4.14,75.99199999999999,88,68,1.73
332,kalamare,26.57,-22.93,46.148000000000025,80,0,4.42
333,fukuma,130.47,33.77,74.066,88,75,6.2
334,da nang,108.22,16.07,79.06999999999996,83,20,1.5
335,puerto escondido,-97.07,15.85,84.46999999999997,74,75,0.71
336,dalvik,-18.53,65.97,44.86999999999996,70,90,3.6
337,zhangye,100.45,38.93,70.79000000000002,36,0,1.12
338,rafaela,-61.49,-31.25,43.05199999999998,57,17,1.34
339,xiangxiang,112.53,27.73,79.34000000000003,90,100,1.98
340,zhigansk,123.37,66.77,64.92200000000004,68,81,3.48
341,poronaysk,143.12,49.22,53.725999999999985,84,100,2.38
342,mutoko,32.23,-17.4,44.52799999999996,98,22,1.58
343,hudson bay,-102.38,52.85,79.23200000000003,77,3,3.33
344,saint-pierre,55.48,-21.34,56.858000000000004,63,90,6.7
345,kudahuvadhoo,72.89,2.67,83.066,73,100,4.62
346,aden,45.04,12.78,85.73000000000005,78,6,5.27
347,vao,167.48,-22.67,71.40199999999999,81,79,8.56
348,kavaratti,72.64,10.57,81.01400000000004,83,100,7.38
349,maceio,-35.74,-9.67,73.66999999999996,83,75,2.6
350,narasannapeta,84.05,18.42,81.17599999999999,85,99,0.9
351,yar-sale,70.83,66.83,54.446000000000055,77,10,4.16
352,saint-leu,55.28,-21.15,57.596000000000046,63,90,6.7
353,indianola,-93.56,41.36,88.88000000000005,52,40,5.1
354,bereda,-7.54,43.27,60.27799999999996,100,12,1.34
355,manono,27.42,-7.3,69.78200000000001,33,0,3.07
356,dhidhdhoo,73.1,6.88,82.36400000000003,77,98,8.35
357,coihaique,-72.07,-45.58,41.26999999999996,75,90,2.1
358,cap malheureux,57.61,-19.98,68.26999999999995,59,19,3.13
359,anadyr,177.48,64.75,60.61999999999996,67,57,7.0
360,codrington,141.97,-38.27,48.36199999999995,77,48,1.4
361,la reforma,-108.05,25.08,89.52799999999996,68,7,2.68
362,ixtapa,-105.2,20.7,84.46999999999997,74,75,5.1
363,delvada,71.03,20.77,82.32799999999997,82,100,3.24
364,rio gallegos,-69.22,-51.62,35.86999999999996,91,75,3.6
365,carberry,-99.36,49.87,84.46999999999997,70,75,6.7
366,khalkhal,48.53,37.62,64.72400000000002,64,44,2.5
367,mankachar,89.87,25.53,78.54800000000003,90,100,3.57
368,sudak,34.97,44.85,69.81799999999998,62,16,5.3
369,okhotsk,143.3,59.38,62.22200000000004,60,1,3.15
370,hasaki,140.83,35.73,76.96400000000003,94,75,2.6
371,yibin,104.62,28.77,79.57400000000001,92,100,0.64
372,the valley,-63.06,18.22,84.00199999999998,79,40,5.7
373,luebo,21.42,-5.35,71.05999999999997,52,33,0.24
374,romny,33.47,50.75,54.69800000000002,78,55,1.93
375,ingham,-84.38,42.6,77.97200000000004,47,1,1.5
376,siaya,34.29,0.06,62.88800000000005,82,89,1.96
377,faanui,-151.75,-16.48,77.99000000000002,75,0,8.58
378,synya,58.04,65.37,55.417999999999985,67,67,1.88
379,hambantota,81.12,6.12,75.46999999999997,100,75,1.5
380,yeppoon,150.73,-23.13,62.86999999999996,88,90,1.5
381,kumluca,30.29,36.37,84.092,42,0,1.23
382,mozarlandia,-50.57,-14.74,75.29000000000002,36,2,1.37
383,dubai,55.3,25.26,90.734,70,0,2.6
384,lima,-77.03,-12.04,61.069999999999965,82,90,6.7
385,palembang,104.75,-2.92,75.46999999999997,94,20,1.0
386,karratha,116.85,-20.74,67.55000000000001,44,0,6.73
387,maloy,5.11,61.94,52.08800000000005,71,27,5.74
388,mayo,-76.51,38.89,79.79000000000002,74,20,2.2
389,awjilah,21.29,29.11,77.66600000000001,53,0,6.69
390,winnemucca,-117.74,40.97,93.46999999999997,10,1,5.1
391,ongandjera,15.07,-17.88,56.408,38,0,4.16
392,richards bay,32.04,-28.78,60.656000000000034,78,0,4.04
393,shimoda,138.95,34.67,75.25399999999996,100,75,4.1
394,kaeo,173.78,-35.1,57.272000000000034,3,62,0.89
395,esperance,121.9,-33.87,43.06999999999996,100,20,7.2
396,isangel,169.27,-19.55,80.86999999999996,83,75,4.6
397,qaqortoq,-46.03,60.72,53.86999999999996,76,98,2.6
398,yilan,121.75,24.76,85.64000000000001,99,100,0.33
399,pemangkat,108.97,1.17,76.58599999999997,91,93,2.6
400,totolapa,-96.18,18.52,88.19600000000005,66,5,4.1
401,troy,-83.15,42.61,81.66199999999995,39,75,2.1
402,vila,-8.16,42.03,65.42599999999999,77,0,3.1
403,apastovo,48.51,55.2,57.469999999999956,82,98,3.0
404,wucheng,118.17,29.6,76.78399999999999,88,100,0.71
405,dole,5.5,47.08,61.016000000000005,77,0,0.5
406,palmas de monte alto,-43.16,-14.27,70.68200000000002,55,11,3.53
407,huilong,121.66,31.81,77.66600000000001,83,22,1.79
408,kasama,31.18,-10.21,45.68000000000004,90,0,1.5
409,falam,93.68,22.92,61.682000000000016,100,83,1.08
410,maragogi,-35.22,-9.01,74.28200000000001,80,11,5.16
411,sugag,23.63,45.77,62.86999999999996,77,29,0.5
412,matay,30.78,28.42,78.53000000000004,47,0,4.66
413,fukue,128.84,32.69,71.86999999999996,94,75,4.1
414,callaguip,120.49,18.07,79.06999999999996,88,20,2.6
415,avera,-82.53,33.19,82.50800000000001,74,90,2.6
416,badou,0.6,7.58,72.05000000000001,88,93,2.02
417,seoul,126.98,37.57,73.85,64,90,2.1
418,coahuayana,-103.68,18.73,77.26999999999995,83,90,7.7
419,chengde,117.94,40.97,81.392,42,63,0.54
420,bijar,47.61,35.87,62.167999999999985,69,14,0.9
421,arkhangelsk,40.54,64.54,50.26999999999996,100,20,1.0
422,caravelas,-39.25,-17.71,69.70999999999998,79,5,2.17
423,plettenberg bay,23.37,-34.05,66.55999999999997,27,0,3.7
424,gatesville,-97.74,31.44,93.52400000000002,44,1,4.6
425,boden,21.69,65.83,57.469999999999956,87,85,4.1
426,vetlanda,15.08,57.43,52.95199999999998,93,20,2.6
427,shenjiamen,122.3,29.96,76.96400000000003,78,76,2.55
428,sawtell,153.1,-30.38,59.0,87,90,3.6
429,tilichiki,166.1,60.47,67.53200000000001,52,0,1.8
430,tabou,-7.35,4.42,75.46999999999997,86,78,4.44
431,alyangula,136.42,-13.85,73.66999999999996,88,0,2.1
432,ascension,-90.9,30.22,78.24199999999999,83,100,2.6
433,anamur,32.84,36.08,70.06999999999996,83,0,2.6
434,inirida,-67.92,3.87,73.75999999999999,93,31,1.02
435,mbandaka,18.26,0.05,72.69800000000004,81,10,1.23
436,brokopondo,-55.17,4.75,80.00600000000003,77,70,3.69
437,micheweni,39.83,-4.97,76.38800000000005,74,76,7.87
438,vestmannaeyjar,-20.27,63.44,50.46799999999999,71,11,0.45
439,mount isa,139.5,-20.73,66.46999999999997,45,0,2.1
